STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/28/2019,83,93,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/29/2019,83,94,76
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,6/30/2019,78,85,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/1/2019,76,88,67
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/2/2019,81,88,75
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/3/2019,81,87,75
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/4/2019,82,93,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/5/2019,78,85,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/6/2019,83,93,76
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/7/2019,79,85,73
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/8/2019,74,82,69
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/9/2019,80,89,71
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/10/2019,83,91,74
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/11/2019,81,86,74
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/12/2019,79,89,74
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/13/2019,79,89,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/14/2019,85,92,78
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/15/2019,80,89,72
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77945,-73.88027,3,7/16/2019,83,94,73
